PF00001 > 7tm_1 > GO:G-protein coupled receptor activity ; GO:0004930
PF00001 > 7tm_1 > GO:G-protein coupled receptor signaling pathway ; GO:0007186
PF00001 > 7tm_1 > GO:integral component of membrane ; GO:0016021
PF00002 > 7tm_2 > GO:G-protein coupled receptor activity ; GO:0004930
PF00002 > 7tm_2 > GO:G-protein coupled receptor signaling pathway ; GO:0007186
PF00002 > 7tm_2 > GO:integral component of membrane ; GO:0016021
PF00003 > 7tm_3 > GO:G-protein coupled receptor activity ; GO:0004930
PF00003 > 7tm_3 > GO:G-protein coupled receptor signaling pathway ; GO:0007186
PF00003 > 7tm_3 > GO:integral component of membrane ; GO:0016021
PF00004 > AAA > GO:ATP binding ; GO:0005524
PF00005 > ABC_tran > GO:ATP binding ; GO:0005524
PF00005 > ABC_tran > GO:ATPase activity ; GO:0016887
PF00006 > ATP-synt_ab > GO:ATP binding ; GO:0005524
PF00009 > GTP_EFTU > GO:GTPase activity ; GO:0003924
PF00009 > GTP_EFTU > GO:GTP binding ; GO:0005525
PF00010 > HLH > GO:protein dimerization activity ; GO:0046983
PF00013 > KH_1 > GO:RNA binding ; GO:0003723
PF00014 > Kunitz_BPTI > GO:serine-type endopeptidase inhibitor activity ; GO:0004867
PF00015 > MCPsignal > GO:signal transducer activity ; GO:0004871
PF00015 > MCPsignal > GO:signal transduction ; GO:0007165
PF00015 > MCPsignal > GO:membrane ; GO:0016020
PF00016 > RuBisCO_large > GO:magnesium ion binding ; GO:0000287
PF00018 > SH3_1 > GO:protein binding ; GO:0005515
PF00019 > TGF_beta > GO:growth factor activity ; GO:0008083
PF00020 > TNFR_c6 > GO:protein binding ; GO:0005515
PF00023 > Ank > GO:protein binding ; GO:0005515
PF00025 > Arf > GO:GTP binding ; GO:0005525
PF00028 > Cadherin > GO:calcium ion binding ; GO:0005509
PF00028 > Cadherin > GO:homophilic cell adhesion via plasma membrane adhesion molecules ; GO:0007156
PF00028 > Cadherin > GO:membrane ; GO:0016020
PF00031 > Cystatin > GO:cysteine-type endopeptidase inhibitor activity ; GO:0004869
PF00032 > Cytochrom_B_C > GO:electron carrier activity ; GO:0009055
PF00032 > Cytochrom_B_C > GO:oxidoreductase activity ; GO:0016491
PF00032 > Cytochrom_B_C > GO:membrane ; GO:0016020
PF00033 > Cytochrome_B > GO:electron carrier activity ; GO:0009055
PF00033 > Cytochrome_B > GO:oxidoreductase activity ; GO:0016491
PF00033 > Cytochrome_B > GO:membrane ; GO:0016020
PF00034 > Cytochrom_C > GO:electron carrier activity ; GO:0009055
PF00034 > Cytochrom_C > GO:heme binding ; GO:0020037
PF00036 > EF-hand_1 > GO:calcium ion binding ; GO:0005509
PF00038 > Filament > GO:structural molecule activity ; GO:0005198
PF00038 > Filament > GO:intermediate filament ; GO:0005882
PF00039 > fn1 > GO:extracellular region ; GO:0005576
PF00041 > fn3 > GO:protein binding ; GO:0005515
PF00042 > Globin > GO:oxygen binding ; GO:0019825
PF00042 > Globin > GO:heme binding ; GO:0020037
PF00044 > Gp_dh_N > GO:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor ; GO:0016620
PF00044 > Gp_dh_N > GO:oxidation-reduction process ; GO:0055114
PF00046 > Homeobox > GO:DNA binding ; GO:0003677
PF00048 > IL8 > GO:chemokine activity ; GO:0008009
PF00048 > IL8 > GO:immune response ; GO:0006955
PF00048 > IL8 > GO:extracellular region ; GO:0005576
PF00049 > Insulin > GO:hormone activity ; GO:0005179
PF00049 > Insulin > GO:extracellular region ; GO:0005576
PF00050 > Kazal_1 > GO:protein binding ; GO:0005515
PF00056 > Ldh_1_N > GO:oxidoreductase activity ; GO:0016491
PF00056 > Ldh_1_N > GO:oxidation-reduction process ; GO:0055114
PF00057 > Ldl_recept_a > GO:protein binding ; GO:0005515
PF00060 > Lig_chan > GO:ionotropic glutamate receptor activity ; GO:0004970
PF00060 > Lig_chan > GO:membrane ; GO:0016020
PF00063 > Myosin_head > GO:motor activity ; GO:0003774
PF00063 > Myosin_head > GO:ATP binding ; GO:0005524
PF00063 > Myosin_head > GO:myosin complex ; GO:0016459
PF00064 > Neur > GO:exo-alpha-sialidase activity ; GO:0004308
PF00064 > Neur > GO:carbohydrate metabolic process ; GO:0005975
PF00064 > Neur > GO:membrane ; GO:0016020
PF00064 > Neur > GO:host cell membrane ; GO:0033644
PF00064 > Neur > GO:virion membrane ; GO:0055036
PF00067 > p450 > GO:iron ion binding ; GO:0005506
PF00067 > p450 > GO:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705
PF00067 > p450 > GO:heme binding ; GO:0020037
PF00067 > p450 > GO:oxidation-reduction process ; GO:0055114
PF00068 > Phospholip_A2_1 > GO:phospholipase A2 activity ; GO:0004623
PF00068 > Phospholip_A2_1 > GO:phospholipid metabolic process ; GO:0006644
PF00068 > Phospholip_A2_1 > GO:arachidonic acid secretion ; GO:0050482
PF00069 > Pkinase > GO:protein kinase activity ; GO:0004672
PF00069 > Pkinase > GO:ATP binding ; GO:0005524
PF00069 > Pkinase > GO:protein phosphorylation ; GO:0006468
